ID,Entry,Gene names,Cross-reference (STRING)
43,Q9NPH9,IL26 AK155,9606.ENSP00000229134
44,P40933,IL15,9606.ENSP00000296545
45,Q9HBE4,IL21,9606.ENSP00000264497
46,Q9GZX6,IL22 ILTIF ZCYTO18 UNQ3099/PRO10096,9606.ENSP00000329384
47,P05112,IL4,9606.ENSP00000231449
48,Q14213,EBI3 IL27B,9606.ENSP00000221847
49,Q9H293,IL25 IL17E UNQ3120/PRO10272,9606.ENSP00000328111
50,Q8NEV9,IL27 IL27A IL30,9606.ENSP00000349365
51,Q14116,IL18 IGIF IL1F4,9606.ENSP00000280357
52,P20809,IL11,9606.ENSP00000264563
53,Q16552,IL17A CTLA8 IL17,9606.ENSP00000344192
54,Q13007,IL24 MDA7 ST16,9606.ENSP00000375795
55,P01574,IFNB1 IFB IFNB,9606.ENSP00000369581
56,P01579,IFNG,9606.ENSP00000229135
57,P01583,IL1A IL1F1,9606.ENSP00000263339
58,P14210,HGF HPTA,9606.ENSP00000222390
59,P09038,FGF2 FGFB,9606.ENSP00000264498
60,P05230,FGF1 FGFA,9606.ENSP00000338548
61,Q8IU54,IFNL1 IL29 ZCYTO21,9606.ENSP00000329991
62,Q8IZJ0,IFNL2 IL28A ZCYTO20,9606.ENSP00000333639
63,P01563,IFNA2 IFNA2A IFNA2B IFNA2C,9606.ENSP00000369554
64,Q9UHD0,IL19 ZMDA1,9606.ENSP00000343000
65,Q9UHF5,IL17B IL20 NIRF ZCYTO7 UNQ516/PRO1031,9606.ENSP00000261796
66,P15248,IL9,9606.ENSP00000274520
67,P40225,THPO MGDF,9606.ENSP00000204615
68,Q9Y6Q6,TNFRSF11A RANK,9606.ENSP00000465500
69,P32971,TNFSF8 CD30L CD30LG,9606.ENSP00000223795
70,P41273,TNFSF9,9606.ENSP00000245817
71,P01375,TNF TNFA TNFSF2,9606.ENSP00000398698
72,O95150,TNFSF15 TL1 VEGI,9606.ENSP00000363157
73,O75888,TNFSF13 APRIL TALL2 ZTNF2 UNQ383/PRO715,9606.ENSP00000343505
74,O43557,TNFSF14 HVEML LIGHT UNQ391/PRO726,9606.ENSP00000469049
75,P01374,LTA TNFB TNFSF1,9606.ENSP00000403495
76,P23510,TNFSF4 TXGP1,9606.ENSP00000281834
77,P21583,KITLG MGF SCF,9606.ENSP00000228280
78,P48061,CXCL12 SDF1 SDF1A SDF1B,9606.ENSP00000379140
79,P10600,TGFB3,9606.ENSP00000238682
80,Q9Y275,TNFSF13B BAFF BLYS TALL1 TNFSF20 ZTNF4 UNQ401/PRO738,9606.ENSP00000365048
81,Q9HD89,RETN FIZZ3 HXCP1 RSTN UNQ407/PRO1199,9606.ENSP00000221515
82,P10720,PF4V1 CXCL4V1 SCYB4V1,9606.ENSP00000226524
83,P04085,PDGFA PDGF1,9606.ENSP00000346508
84,P01127,PDGFB PDGF2 SIS,9606.ENSP00000330382
85,P02776,PF4 CXCL4 SCYB4,9606.ENSP00000296029
86,P14174,MIF GLIF MMIF,9606.ENSP00000215754
87,P15018,LIF HILDA,9606.ENSP00000249075
88,Q9UBD9,CLCF1 BSF3 CLC NNT1,9606.ENSP00000309338
89,P47992,XCL1 LTN SCYC1,9606.ENSP00000356792
90,P78423,CX3CL1 FKN NTT SCYD1 A-152E5.2,9606.ENSP00000006053
91,P01137,TGFB1 TGFB,9606.ENSP00000221930
92,P01135,TGFA,9606.ENSP00000295400
93,Q9UBR5,CKLF CKLF1 HSPC224 UNQ410/PRO772,9606.ENSP00000264001
94,P16619,CCL3L1 D17S1718 G0S19-2 SCYA3L1; CCL3L3,9606.ENSP00000408984
95,Q99988,GDF15 MIC1 PDF PLAB PTGFB,9606.ENSP00000252809
96,P10451,SPP1 BNSP OPN PSEC0156,9606.ENSP00000378517
97,P13725,OSM,9606.ENSP00000215781
98,Q6ZMJ4,IL34 C16orf77,9606.ENSP00000288098
99,P22301,IL10,9606.ENSP00000412237
100,P29460,IL12B NKSF2,9606.ENSP00000231228
101,P10145,CXCL8 IL8,9606.ENSP00000306512
102,Q9NPF7,IL23A SGRF UNQ2498/PRO5798,9606.ENSP00000228534
103,P13232,IL7,9606.ENSP00000263851
104,Q9NYY1,IL20 ZCYTO10 UNQ852/PRO1801,9606.ENSP00000356063
105,P08700,IL3,9606.ENSP00000296870
106,Q8IZI9,IFNL3 IL28B IL28C ZCYTO22,9606.ENSP00000409000
107,Q96PD4,IL17F,9606.ENSP00000337432
108,O95760,IL33 C9orf26 IL1F11 NFHEV,9606.ENSP00000370842
109,P18510,IL1RN IL1F3 IL1RA,9606.ENSP00000259206
110,Q9NZH8,IL36G IL1E IL1F9 IL1H1 IL1RP2 UNQ2456/PRO5737,9606.ENSP00000259205
111,P60568,IL2,9606.ENSP00000226730
112,P05231,IL6 IFNB2,9606.ENSP00000258743
113,O14960,LECT2,9606.ENSP00000274507
